county,facts_stated,pages_captured,has_elections_page,mentions_nov3,mentions_past_2026,elections_referenced,nov3_mentions,last_text_change,days_since_change
hockley,1,2,yes,yes,yes,Nov 3 general (upcoming); Mar 3 primary (past),2,2026-08-18,2
hood,3,3,yes,yes,yes,Nov 3 general (upcoming); May 26 primary runoff (past); Mar 3 primary (past),2,2026-08-18,2
hopkins,2,5,yes,yes,yes,Nov 3 general (upcoming); Mar 3 primary (past); May 2 uniform (past); May 26 primary runoff (past),16,2026-08-20,0
houston,1,2,yes,yes,yes,Nov 3 general (upcoming); Mar 3 primary (past); May 2 uniform (past); May 26 primary runoff (past),2,2026-08-20,0
howard,2,4,yes,yes,yes,Nov 3 general (upcoming); May 26 primary runoff (past); May 2 uniform (past),3,2026-08-20,0
hudspeth,0,3,yes,no,no,none of the 2026 calendar,0,2026-08-07,13
hunt,2,3,yes,yes,yes,May 26 primary runoff (past); May 2 uniform (past); Nov 3 general (upcoming),1,2026-08-20,0
hutchinson,1,2,yes,no,yes,Mar 3 primary (past),0,2026-08-20,0
irion,0,2,yes,no,no,none of the 2026 calendar,0,2026-08-20,0
jack,2,4,yes,yes,yes,Mar 3 primary (past); May 2 uniform (past); May 26 primary runoff (past); Nov 3 general (upcoming),2,2026-08-18,2
jackson,0,3,yes,no,no,none of the 2026 calendar,0,2026-08-15,5
jasper,0,2,yes,no,yes,May 26 primary runoff (past); Mar 3 primary (past); May 2 uniform (past),0,2026-08-15,5
jeff_davis,0,2,yes,no,yes,Mar 3 primary (past); May 26 primary runoff (past),0,2026-07-29,22
jefferson,0,5,yes,no,no,none of the 2026 calendar,0,2026-08-18,2
jim_hogg,0,2,yes,no,yes,May 26 primary runoff (past); Mar 3 primary (past),0,2026-08-12,8
jim_wells,1,2,yes,yes,no,Nov 3 general (upcoming),1,2026-08-20,0
johnson,0,5,yes,no,no,none of the 2026 calendar,0,2026-08-18,2
jones,0,2,yes,no,yes,May 26 primary runoff (past); Mar 3 primary (past),0,2026-08-18,2
karnes,3,2,yes,yes,yes,Nov 3 general (upcoming); May 2 uniform (past); Mar 3 primary (past); May 26 primary runoff (past),3,2026-08-20,0
kaufman,3,5,yes,yes,no,Nov 3 general (upcoming),4,2026-08-12,8
